"cellid","y1","y2","y3","y4","y5","nvisit1","nvisit2","nvisit3","nvisit4","nvisit5","x.loc","y.loc"
151,0,NA,2,2,4,1,NA,5,4,5,151.5,4.5
155,1,0,1,0,2,3,1,5,3,4,163.5,4.5
158,0,1,1,0,2,5,1,1,2,4,172.5,4.5
159,2,4,4,2,2,4,5,5,3,4,175.5,4.5
164,0,NA,2,1,NA,5,NA,2,2,NA,190.5,4.5
168,1,1,1,0,1,3,2,1,1,5,202.5,4.5
169,3,1,4,2,NA,4,5,4,3,NA,205.5,4.5
172,0,NA,0,NA,0,5,NA,4,NA,5,214.5,4.5
176,1,3,3,NA,1,2,4,3,NA,1,226.5,4.5
188,2,0,1,1,3,4,4,2,1,5,262.5,4.5
190,NA,NA,0,3,NA,NA,NA,1,5,NA,268.5,4.5
191,0,0,0,0,NA,1,2,2,1,NA,271.5,4.5
194,2,NA,NA,2,4,5,NA,NA,3,4,280.5,4.5
195,1,0,1,NA,0,2,2,2,NA,1,283.5,4.5
204,1,1,2,2,0,1,1,3,2,1,10.5,7.5
205,0,0,0,0,0,2,1,5,3,2,13.5,7.5
207,2,1,2,1,1,2,2,4,4,2,19.5,7.5
210,1,NA,3,4,0,1,NA,5,5,1,28.5,7.5
213,1,0,2,NA,1,1,2,5,NA,3,37.5,7.5
217,2,2,2,0,1,5,3,4,1,4,49.5,7.5
220,2,1,4,4,0,3,5,4,5,1,58.5,7.5
230,0,0,0,NA,2,1,3,4,NA,4,88.5,7.5
231,NA,1,1,0,1,NA,3,3,4,1,91.5,7.5
232,1,2,4,1,3,1,3,5,1,4,94.5,7.5
235,0,0,1,1,NA,3,1,1,4,NA,103.5,7.5
245,1,0,3,2,1,2,3,5,4,5,133.5,7.5
250,3,1,3,NA,2,3,3,5,NA,4,148.5,7.5
258,0,0,0,0,0,3,4,1,4,3,172.5,7.5
260,0,0,0,0,0,5,5,3,4,4,178.5,7.5
262,NA,0,0,0,0,NA,3,3,5,5,184.5,7.5
266,0,0,0,1,0,4,2,2,5,5,196.5,7.5
270,0,NA,0,0,NA,3,NA,4,3,NA,208.5,7.5
271,0,0,1,0,NA,1,1,4,1,NA,211.5,7.5
272,0,NA,1,NA,0,4,NA,5,NA,5,214.5,7.5
280,NA,NA,0,0,0,NA,NA,1,3,4,238.5,7.5
281,NA,0,0,0,NA,NA,1,4,5,NA,241.5,7.5
290,NA,0,NA,0,0,NA,2,NA,4,4,268.5,7.5
305,0,NA,0,0,0,2,NA,5,2,3,13.5,10.5
306,0,0,0,NA,0,1,4,4,NA,2,16.5,10.5
307,3,1,0,2,NA,4,4,2,3,NA,19.5,10.5
310,1,0,0,NA,1,4,3,2,NA,3,28.5,10.5
318,0,NA,NA,0,0,5,NA,NA,3,5,52.5,10.5
321,1,4,3,NA,NA,1,4,4,NA,NA,61.5,10.5
323,NA,1,0,3,0,NA,3,1,5,5,67.5,10.5
330,2,0,0,NA,2,5,1,3,NA,4,88.5,10.5
331,2,2,1,2,3,2,4,2,3,3,91.5,10.5
334,1,1,0,1,1,1,2,3,1,5,100.5,10.5
335,1,0,3,2,0,2,1,5,5,1,103.5,10.5
338,0,1,NA,1,0,4,3,NA,1,2,112.5,10.5
344,0,3,2,2,0,3,5,2,2,3,130.5,10.5
347,1,1,3,NA,1,1,2,4,NA,4,139.5,10.5
351,1,0,1,0,NA,2,1,2,1,NA,151.5,10.5
352,0,0,2,0,0,5,2,5,3,4,154.5,10.5
362,3,1,2,1,2,5,5,5,3,5,184.5,10.5
370,0,NA,1,1,0,2,NA,3,1,3,208.5,10.5
371,NA,0,1,0,1,NA,4,3,5,1,211.5,10.5
386,2,1,2,NA,NA,2,1,2,NA,NA,256.5,10.5
390,3,1,1,1,0,5,2,5,2,2,268.5,10.5
396,1,0,2,1,1,2,1,2,2,2,286.5,10.5
404,2,3,2,2,1,2,5,4,3,1,10.5,13.5
407,NA,2,0,0,1,NA,4,4,2,4,19.5,13.5
408,1,2,0,1,2,4,5,2,2,4,22.5,13.5
412,0,0,0,0,1,5,5,4,2,4,34.5,13.5
414,3,4,3,1,1,4,5,3,1,1,40.5,13.5
417,0,0,0,1,0,4,1,2,4,3,49.5,13.5
420,1,NA,2,2,2,2,NA,5,2,2,58.5,13.5
424,1,0,NA,0,0,5,5,NA,5,4,70.5,13.5
426,0,0,NA,0,0,1,5,NA,2,3,76.5,13.5
429,4,NA,1,0,2,5,NA,1,1,2,85.5,13.5
434,1,2,NA,0,0,2,4,NA,2,1,100.5,13.5
438,0,0,0,0,0,1,3,4,5,2,112.5,13.5
439,1,2,NA,0,NA,1,3,NA,1,NA,115.5,13.5
443,2,3,1,3,NA,5,4,1,4,NA,127.5,13.5
456,1,1,1,3,0,4,5,2,4,2,166.5,13.5
463,2,2,NA,1,NA,2,3,NA,2,NA,187.5,13.5
465,5,2,3,5,NA,5,4,4,5,NA,193.5,13.5
470,1,2,0,NA,0,1,4,1,NA,2,208.5,13.5
476,1,NA,2,4,3,1,NA,4,4,4,226.5,13.5
480,2,NA,2,0,2,4,NA,3,3,5,238.5,13.5
481,3,NA,2,NA,4,3,NA,4,NA,5,241.5,13.5
492,NA,2,1,1,0,NA,4,4,3,4,274.5,13.5
496,0,0,0,0,0,2,4,2,5,5,286.5,13.5
497,4,3,2,4,NA,4,3,3,5,NA,289.5,13.5
506,2,0,0,NA,0,5,5,4,NA,1,16.5,16.5
507,5,NA,NA,NA,3,5,NA,NA,NA,4,19.5,16.5
513,1,0,1,2,1,2,1,2,5,5,37.5,16.5
515,2,1,0,NA,0,3,1,1,NA,5,43.5,16.5
527,1,NA,0,0,0,3,NA,4,4,2,79.5,16.5
535,5,NA,2,NA,0,5,NA,4,NA,2,103.5,16.5
538,0,0,0,0,2,2,1,1,3,5,112.5,16.5
542,1,2,2,0,0,2,5,5,2,3,124.5,16.5
552,0,0,0,0,0,1,2,1,5,3,154.5,16.5
553,NA,0,NA,1,2,NA,1,NA,3,5,157.5,16.5
555,2,1,0,1,1,2,3,3,2,1,163.5,16.5
558,0,0,0,NA,0,2,4,5,NA,2,172.5,16.5
569,1,2,3,0,NA,2,3,5,1,NA,205.5,16.5
592,1,2,1,1,NA,4,2,3,3,NA,274.5,16.5
593,0,0,NA,0,0,4,4,NA,1,2,277.5,16.5
604,0,0,0,0,0,1,2,1,5,4,10.5,19.5
607,1,0,0,NA,1,2,1,4,NA,3,19.5,19.5
628,0,5,3,1,1,2,5,3,1,1,82.5,19.5
656,NA,1,1,0,0,NA,5,5,4,3,166.5,19.5
659,2,1,0,1,NA,4,5,2,4,NA,175.5,19.5
660,0,2,1,3,1,1,5,4,3,1,178.5,19.5
675,NA,2,0,0,0,NA,5,4,5,1,223.5,19.5
688,2,0,NA,2,0,4,4,NA,5,3,262.5,19.5
689,1,NA,0,0,NA,3,NA,4,2,NA,265.5,19.5
690,2,NA,0,2,NA,4,NA,1,2,NA,268.5,19.5
694,2,0,NA,0,1,3,1,NA,4,4,280.5,19.5
715,1,0,0,1,1,3,4,4,5,4,43.5,22.5
720,0,0,0,0,0,1,4,3,4,4,58.5,22.5
722,0,0,0,NA,0,1,1,1,NA,4,64.5,22.5
730,0,NA,2,0,0,2,NA,5,4,3,88.5,22.5
731,0,0,0,0,0,5,3,2,4,3,91.5,22.5
732,5,0,3,1,0,5,3,4,1,1,94.5,22.5
733,0,NA,0,0,0,3,NA,3,3,5,97.5,22.5
735,NA,0,NA,0,3,NA,1,NA,1,5,103.5,22.5
739,NA,2,2,3,2,NA,3,3,5,4,115.5,22.5
741,NA,0,0,NA,0,NA,1,3,NA,1,121.5,22.5
746,1,NA,3,2,5,1,NA,4,4,5,136.5,22.5
753,1,0,1,1,1,2,4,2,3,2,157.5,22.5
755,0,1,3,0,4,1,4,4,3,5,163.5,22.5
764,0,0,0,1,0,3,1,1,1,4,190.5,22.5
771,4,1,NA,2,1,4,2,NA,3,4,211.5,22.5
773,1,1,2,1,3,1,1,4,1,3,217.5,22.5
779,1,NA,1,NA,1,3,NA,4,NA,5,235.5,22.5
780,2,0,1,NA,2,5,2,1,NA,3,238.5,22.5
781,0,0,0,0,0,3,4,1,4,1,241.5,22.5
784,0,0,0,0,NA,4,5,2,1,NA,250.5,22.5
787,NA,NA,2,0,4,NA,NA,3,2,5,259.5,22.5
794,3,1,1,2,1,5,1,2,4,1,280.5,22.5
797,0,0,0,0,0,5,3,1,1,4,289.5,22.5
798,0,NA,0,0,0,4,NA,1,3,1,292.5,22.5
803,0,NA,0,NA,0,4,NA,4,NA,1,7.5,25.5
810,NA,2,1,NA,NA,NA,3,1,NA,NA,28.5,25.5
814,NA,0,0,0,0,NA,3,1,5,2,40.5,25.5
818,0,0,0,0,0,4,5,3,3,4,52.5,25.5
820,2,3,1,3,1,2,3,2,4,3,58.5,25.5
826,0,1,0,0,0,3,2,3,2,1,76.5,25.5
832,NA,3,NA,1,5,NA,4,NA,3,5,94.5,25.5
836,0,0,0,0,0,4,1,2,4,1,106.5,25.5
840,NA,NA,2,2,3,NA,NA,3,2,3,118.5,25.5
849,0,NA,0,0,0,1,NA,4,1,5,145.5,25.5
858,2,0,NA,1,2,4,1,NA,2,2,172.5,25.5
861,1,3,2,NA,NA,4,4,4,NA,NA,181.5,25.5
863,2,1,0,3,2,2,3,1,5,4,187.5,25.5
866,NA,2,3,0,NA,NA,3,4,1,NA,196.5,25.5
871,1,0,0,0,0,3,5,5,3,3,211.5,25.5
872,4,1,3,3,1,5,4,3,3,1,214.5,25.5
874,4,NA,1,1,2,4,NA,2,1,2,220.5,25.5
882,1,2,1,0,1,3,5,3,2,2,244.5,25.5
883,0,0,0,0,0,5,4,1,2,3,247.5,25.5
886,0,1,0,0,0,1,2,3,2,3,256.5,25.5
896,2,2,NA,3,0,2,4,NA,4,2,286.5,25.5
916,NA,0,NA,0,0,NA,2,NA,1,2,46.5,28.5
925,1,0,NA,NA,1,5,2,NA,NA,4,73.5,28.5
937,1,1,1,0,1,1,4,2,4,3,109.5,28.5
941,1,1,0,0,NA,2,5,1,2,NA,121.5,28.5
947,4,2,NA,3,1,4,4,NA,4,1,139.5,28.5
951,0,0,0,0,0,3,1,5,2,2,151.5,28.5
954,2,0,1,1,1,3,1,4,4,2,160.5,28.5
956,NA,1,1,1,NA,NA,4,1,4,NA,166.5,28.5
964,3,1,3,1,3,4,1,3,1,3,190.5,28.5
977,1,1,1,3,1,3,5,2,5,1,229.5,28.5
978,3,NA,3,NA,NA,3,NA,3,NA,NA,232.5,28.5
979,1,1,2,1,1,3,1,4,1,4,235.5,28.5
980,2,1,3,2,1,2,1,3,3,1,238.5,28.5
986,0,0,0,1,0,1,4,2,2,2,256.5,28.5
992,1,2,4,2,1,4,3,5,2,4,274.5,28.5
993,NA,0,NA,0,NA,NA,3,NA,4,NA,277.5,28.5
994,1,1,0,0,0,3,4,4,5,1,280.5,28.5
999,0,0,2,2,1,5,4,3,3,5,295.5,28.5
1001,2,3,NA,4,4,4,3,NA,4,4,1.5,31.5
1010,0,2,0,0,0,2,5,1,1,3,28.5,31.5
1013,0,0,0,0,0,1,4,5,4,1,37.5,31.5
1033,1,3,0,NA,0,3,4,1,NA,3,97.5,31.5
1036,1,NA,1,1,2,4,NA,5,5,4,106.5,31.5
1040,0,0,NA,0,0,1,5,NA,2,4,118.5,31.5
1044,0,0,0,0,0,1,3,1,1,1,130.5,31.5
1050,NA,0,0,NA,0,NA,3,3,NA,4,148.5,31.5
1058,0,0,0,0,0,4,2,3,4,2,172.5,31.5
1061,3,1,2,3,0,5,1,4,5,4,181.5,31.5
1062,3,4,2,NA,0,5,5,4,NA,1,184.5,31.5
1068,1,3,4,3,2,2,5,5,5,4,202.5,31.5
1074,1,1,1,3,2,2,2,2,4,4,220.5,31.5
1075,1,1,1,0,2,5,4,3,3,3,223.5,31.5
1076,1,2,1,1,NA,3,4,1,3,NA,226.5,31.5
1077,0,0,0,1,0,4,3,1,3,3,229.5,31.5
1078,0,1,0,NA,0,3,4,1,NA,1,232.5,31.5
1097,0,0,0,1,0,2,3,3,5,3,289.5,31.5
1103,1,1,3,4,1,5,2,4,5,1,7.5,34.5
1110,0,0,0,0,0,1,2,5,1,2,28.5,34.5
1116,0,2,3,NA,4,2,4,3,NA,5,46.5,34.5
1121,0,1,0,0,0,2,3,3,5,2,61.5,34.5
1129,3,1,0,2,1,5,2,2,5,1,85.5,34.5
1131,0,NA,2,NA,2,4,NA,3,NA,2,91.5,34.5
1133,0,1,1,1,2,1,3,1,4,3,97.5,34.5
1134,0,2,2,0,2,1,3,3,2,2,100.5,34.5
1142,0,NA,0,0,0,2,NA,5,4,1,124.5,34.5
1145,NA,1,NA,NA,2,NA,1,NA,NA,2,133.5,34.5
1147,0,0,0,1,1,4,2,1,4,3,139.5,34.5
1150,0,NA,0,0,0,3,NA,1,3,3,148.5,34.5
1154,0,0,0,0,0,5,1,2,4,1,160.5,34.5
1159,1,4,3,NA,0,2,4,4,NA,1,175.5,34.5
1160,3,NA,3,1,0,5,NA,5,4,3,178.5,34.5
1162,0,0,NA,0,0,2,2,NA,3,2,184.5,34.5
1164,0,0,0,0,NA,5,5,3,3,NA,190.5,34.5
1173,0,0,0,0,0,5,3,2,4,4,217.5,34.5
1179,2,1,2,2,NA,2,2,2,3,NA,235.5,34.5
1181,NA,0,0,0,0,NA,1,2,3,2,241.5,34.5
1189,1,3,1,NA,0,3,3,5,NA,2,265.5,34.5
1190,0,0,NA,0,0,3,1,NA,1,1,268.5,34.5
1191,1,NA,1,0,3,2,NA,2,4,5,271.5,34.5
1196,5,2,3,2,0,5,2,3,4,2,286.5,34.5
1197,3,0,1,2,5,3,1,2,5,5,289.5,34.5
1202,2,1,3,NA,0,5,1,5,NA,3,4.5,37.5
1212,0,NA,0,0,0,1,NA,3,5,4,34.5,37.5
1221,4,1,1,NA,0,5,5,2,NA,1,61.5,37.5
1232,0,1,1,3,1,2,5,2,4,4,94.5,37.5
1238,0,0,0,0,0,4,5,2,3,1,112.5,37.5
1242,NA,0,0,0,0,NA,1,1,2,3,124.5,37.5
1244,1,1,2,4,2,1,5,5,5,3,130.5,37.5
1246,0,1,NA,4,1,2,2,NA,5,3,136.5,37.5
1249,3,3,NA,3,1,4,3,NA,5,1,145.5,37.5
1263,3,0,1,2,2,4,1,5,3,4,187.5,37.5
1264,0,0,0,0,0,1,2,2,2,1,190.5,37.5
1266,0,0,0,NA,0,4,3,5,NA,2,196.5,37.5
1270,0,0,0,0,0,4,3,3,2,2,208.5,37.5
1272,NA,0,0,0,0,NA,4,2,4,5,214.5,37.5
1274,NA,0,0,0,0,NA,3,5,4,4,220.5,37.5
1275,0,0,NA,0,0,2,4,NA,4,1,223.5,37.5
1279,0,0,NA,0,0,4,2,NA,2,1,235.5,37.5
1281,0,0,0,0,0,4,3,1,2,3,241.5,37.5
1287,NA,0,0,0,0,NA,5,1,5,4,259.5,37.5
1293,0,0,0,0,NA,1,2,5,4,NA,277.5,37.5
1302,4,3,NA,1,3,4,5,NA,2,5,4.5,40.5
1307,0,0,NA,0,0,5,3,NA,1,4,19.5,40.5
1313,0,0,0,0,0,3,4,2,1,4,37.5,40.5
1317,0,NA,1,0,0,1,NA,5,1,4,49.5,40.5
1324,NA,0,0,0,NA,NA,3,2,4,NA,70.5,40.5
1332,0,0,0,NA,2,5,1,2,NA,3,94.5,40.5
1344,2,0,1,2,1,4,1,5,3,2,130.5,40.5
1345,1,0,1,0,0,5,1,4,3,1,133.5,40.5
1346,1,1,NA,NA,0,4,5,NA,NA,3,136.5,40.5
1350,NA,1,3,1,2,NA,3,3,1,2,148.5,40.5
1353,1,2,0,1,1,4,3,1,1,2,157.5,40.5
1354,NA,NA,5,3,NA,NA,NA,5,3,NA,160.5,40.5
1355,0,0,NA,NA,0,3,1,NA,NA,4,163.5,40.5
1364,0,0,NA,0,NA,4,1,NA,4,NA,190.5,40.5
1368,2,NA,1,NA,0,3,NA,4,NA,5,202.5,40.5
1370,0,0,0,0,0,1,3,1,1,1,208.5,40.5
1379,2,4,NA,NA,2,2,4,NA,NA,2,235.5,40.5
1382,1,2,1,NA,0,2,5,1,NA,3,244.5,40.5
1385,0,0,0,NA,NA,2,4,4,NA,NA,253.5,40.5
1390,0,2,NA,0,0,2,5,NA,4,4,268.5,40.5
1392,0,1,0,0,0,1,4,2,5,1,274.5,40.5
1394,2,NA,NA,4,NA,2,NA,NA,4,NA,280.5,40.5
1398,0,0,0,NA,NA,4,1,1,NA,NA,292.5,40.5
1399,NA,0,1,1,2,NA,1,3,3,3,295.5,40.5
1406,1,1,1,1,NA,5,2,1,4,NA,16.5,43.5
1410,NA,3,4,5,NA,NA,3,4,5,NA,28.5,43.5
1412,NA,NA,0,1,0,NA,NA,4,5,3,34.5,43.5
1416,5,4,3,2,NA,5,4,3,2,NA,46.5,43.5
1430,1,0,0,NA,NA,1,3,3,NA,NA,88.5,43.5
1431,0,0,NA,NA,0,2,2,NA,NA,1,91.5,43.5
1434,2,NA,1,0,0,4,NA,2,3,1,100.5,43.5
1435,0,1,2,0,2,1,2,2,1,2,103.5,43.5
1444,2,2,2,2,2,4,4,5,2,4,130.5,43.5
1454,0,0,NA,NA,0,2,3,NA,NA,5,160.5,43.5
1462,2,2,NA,1,2,2,2,NA,1,2,184.5,43.5
1463,2,4,1,3,2,3,5,2,3,2,187.5,43.5
1465,NA,0,NA,1,1,NA,2,NA,4,5,193.5,43.5
1468,1,3,2,1,NA,3,3,2,2,NA,202.5,43.5
1469,0,1,1,0,1,5,2,1,1,1,205.5,43.5
1471,1,NA,NA,0,1,2,NA,NA,1,3,211.5,43.5
1476,0,0,0,NA,0,5,3,1,NA,4,226.5,43.5
1479,5,NA,3,3,NA,5,NA,4,3,NA,235.5,43.5
1496,0,NA,NA,0,0,2,NA,NA,1,1,286.5,43.5
1509,1,1,0,NA,1,2,5,1,NA,2,25.5,46.5
1511,2,2,3,2,NA,2,5,3,3,NA,31.5,46.5
1514,2,NA,4,1,1,4,NA,5,1,3,40.5,46.5
1520,3,2,2,2,1,4,5,5,5,5,58.5,46.5
1521,2,NA,NA,2,2,3,NA,NA,3,2,61.5,46.5
1524,NA,0,0,1,0,NA,3,2,5,4,70.5,46.5
1532,1,0,1,1,1,5,1,2,2,4,94.5,46.5
1533,4,2,2,0,2,4,2,4,1,2,97.5,46.5
1547,1,3,NA,NA,NA,1,5,NA,NA,NA,139.5,46.5
1549,2,NA,3,1,0,3,NA,3,1,1,145.5,46.5
1553,1,NA,1,0,1,1,NA,1,4,4,157.5,46.5
1559,5,5,3,2,2,5,5,5,2,3,175.5,46.5
1561,NA,NA,0,0,0,NA,NA,3,5,1,181.5,46.5
1562,0,0,2,0,3,4,4,2,1,5,184.5,46.5
1565,0,0,NA,1,1,1,1,NA,5,2,193.5,46.5
1567,0,0,0,0,0,2,2,1,4,3,199.5,46.5
1571,0,1,0,NA,0,4,5,2,NA,5,211.5,46.5
1580,2,1,2,0,2,4,1,3,1,4,238.5,46.5
1585,2,1,3,3,4,3,4,5,4,5,253.5,46.5
1587,1,1,0,1,1,4,5,2,1,1,259.5,46.5
1588,2,0,NA,2,2,3,1,NA,3,2,262.5,46.5
1596,2,2,NA,NA,3,3,4,NA,NA,4,286.5,46.5
1598,3,3,4,2,5,3,4,5,3,5,292.5,46.5
1605,0,NA,0,NA,0,2,NA,2,NA,2,13.5,49.5
1608,NA,1,NA,0,2,NA,5,NA,5,5,22.5,49.5
1609,0,2,1,0,0,2,4,4,2,2,25.5,49.5
1610,2,NA,1,1,3,2,NA,1,1,3,28.5,49.5
1615,3,1,NA,3,NA,4,1,NA,4,NA,43.5,49.5
1618,0,1,1,4,1,1,2,3,5,3,52.5,49.5
1623,0,0,0,0,NA,1,1,5,2,NA,67.5,49.5
1632,0,NA,0,0,0,5,NA,4,1,3,94.5,49.5
1635,1,5,2,4,4,1,5,2,4,4,103.5,49.5
1646,0,0,2,NA,0,5,2,3,NA,3,136.5,49.5
1648,3,NA,3,2,1,5,NA,4,3,1,142.5,49.5
1651,0,0,0,0,NA,2,2,2,2,NA,151.5,49.5
1653,2,1,3,3,4,2,2,5,3,5,157.5,49.5
1663,1,NA,NA,NA,3,4,NA,NA,NA,4,187.5,49.5
1664,1,3,0,2,5,1,3,1,3,5,190.5,49.5
1678,0,0,0,1,0,4,5,5,4,3,232.5,49.5
1680,NA,0,0,0,0,NA,3,5,2,1,238.5,49.5
1683,0,0,NA,NA,2,4,3,NA,NA,3,247.5,49.5
1690,0,1,0,NA,1,4,1,2,NA,3,268.5,49.5
1691,0,0,NA,1,1,2,4,NA,5,4,271.5,49.5
1693,1,1,NA,0,NA,3,5,NA,1,NA,277.5,49.5
1701,2,NA,NA,1,2,2,NA,NA,1,3,1.5,52.5
1702,1,1,1,2,0,4,1,3,5,5,4.5,52.5
1705,0,0,0,0,0,4,3,2,2,4,13.5,52.5
1717,0,0,NA,0,0,2,2,NA,4,1,49.5,52.5
1718,3,1,1,3,4,4,1,1,5,4,52.5,52.5
1719,2,NA,4,NA,0,2,NA,5,NA,1,55.5,52.5
1721,2,2,2,4,NA,4,5,4,5,NA,61.5,52.5
1722,0,3,4,4,1,2,3,5,4,1,64.5,52.5
1728,0,0,0,0,0,5,5,5,5,4,82.5,52.5
1729,0,0,0,0,0,4,1,4,4,3,85.5,52.5
1742,3,3,NA,1,3,4,5,NA,1,5,124.5,52.5
1754,0,NA,0,0,0,2,NA,3,5,4,160.5,52.5
1757,1,3,0,4,NA,2,5,1,5,NA,169.5,52.5
1761,0,NA,0,0,0,3,NA,3,4,5,181.5,52.5
1762,0,0,0,0,0,3,4,1,2,2,184.5,52.5
1765,1,1,1,NA,0,4,2,4,NA,2,193.5,52.5
1767,1,NA,0,1,3,4,NA,1,1,5,199.5,52.5
1769,0,0,0,0,0,2,1,2,5,4,205.5,52.5
1770,2,0,1,0,1,3,1,3,1,1,208.5,52.5
1775,1,NA,0,0,3,3,NA,1,2,4,223.5,52.5
1782,0,0,0,0,0,4,3,2,1,3,244.5,52.5
1783,1,0,1,0,0,5,5,4,3,5,247.5,52.5
1789,0,1,2,1,0,1,2,5,2,2,265.5,52.5
1791,1,1,NA,4,1,2,1,NA,4,1,271.5,52.5
1792,3,NA,4,NA,4,3,NA,5,NA,4,274.5,52.5
1795,2,1,4,NA,4,5,2,5,NA,4,283.5,52.5
1799,1,1,NA,NA,2,2,2,NA,NA,3,295.5,52.5
1801,0,0,1,0,0,5,3,5,3,1,1.5,55.5
1804,1,1,0,3,0,2,4,2,4,1,10.5,55.5
1808,3,2,1,3,5,4,2,4,5,5,22.5,55.5
1820,0,1,0,1,0,1,3,1,4,3,58.5,55.5
1822,NA,1,NA,1,3,NA,1,NA,1,4,64.5,55.5
1836,0,0,0,0,0,3,5,3,1,1,106.5,55.5
1838,3,1,0,2,4,5,4,3,4,4,112.5,55.5
1850,NA,0,NA,1,0,NA,5,NA,3,4,148.5,55.5
1852,2,1,0,1,NA,4,3,1,2,NA,154.5,55.5
1854,2,1,1,1,0,3,3,4,2,1,160.5,55.5
1861,1,1,1,2,2,3,4,4,5,4,181.5,55.5
1864,NA,0,0,0,0,NA,3,2,1,1,190.5,55.5
1875,2,1,NA,1,NA,3,1,NA,5,NA,223.5,55.5
1895,1,0,NA,0,1,5,2,NA,2,3,283.5,55.5
1901,NA,1,NA,NA,1,NA,1,NA,NA,1,1.5,58.5
1902,0,1,NA,0,1,1,2,NA,5,3,4.5,58.5
1903,2,1,1,NA,1,4,1,3,NA,1,7.5,58.5
1918,1,1,4,3,NA,1,1,5,4,NA,52.5,58.5
1927,4,3,3,4,NA,4,3,3,4,NA,79.5,58.5
1947,4,4,NA,2,1,4,4,NA,2,1,139.5,58.5
1950,0,NA,2,0,1,5,NA,5,1,3,148.5,58.5
1973,5,4,2,NA,NA,5,5,2,NA,NA,217.5,58.5
1978,0,1,0,1,1,1,4,2,2,1,232.5,58.5
1980,0,1,1,NA,0,1,4,2,NA,1,238.5,58.5
1983,1,2,2,0,1,5,2,3,1,3,247.5,58.5
1984,3,1,NA,NA,3,3,3,NA,NA,3,250.5,58.5
1987,NA,2,4,3,NA,NA,3,5,5,NA,259.5,58.5
1992,NA,0,0,2,1,NA,5,1,3,5,274.5,58.5
1994,0,0,0,NA,0,3,4,1,NA,4,280.5,58.5
1995,NA,1,2,3,4,NA,1,2,3,4,283.5,58.5
1997,3,2,3,0,1,4,5,4,1,2,289.5,58.5
2000,0,0,0,0,0,5,1,4,2,3,298.5,58.5
2006,0,1,NA,0,NA,1,5,NA,5,NA,16.5,61.5
2013,3,3,4,4,NA,3,3,5,4,NA,37.5,61.5
2018,0,0,0,0,0,2,4,1,1,2,52.5,61.5
2028,2,5,0,3,3,2,5,2,4,4,82.5,61.5
2032,1,NA,1,0,2,1,NA,1,3,5,94.5,61.5
2033,1,0,3,1,0,3,1,4,4,5,97.5,61.5
2037,1,0,0,NA,NA,3,2,5,NA,NA,109.5,61.5
2040,4,3,2,4,2,4,3,2,5,2,118.5,61.5
2051,2,3,NA,NA,3,3,5,NA,NA,4,151.5,61.5
2054,0,NA,1,NA,0,3,NA,2,NA,2,160.5,61.5
2055,0,0,0,0,0,5,1,3,4,1,163.5,61.5
2060,1,2,0,NA,1,3,4,3,NA,1,178.5,61.5
2061,0,2,NA,0,1,2,5,NA,3,1,181.5,61.5
2074,1,0,3,1,3,1,1,5,5,5,220.5,61.5
2075,2,1,2,0,NA,3,1,2,1,NA,223.5,61.5
